name,time,team,Padj_Defensive Acts,Turnovers,Aerial Challenges,Aerial Win %,True Tackle Win%,Padj_Pressures,Padj_Successful Pressures,Dribbles,xT,xT Facilitated,xGBuildup,xGChain,Successful Passes,Successful Long Passes,Successful Final Third Passes,Successful Under Pressure Passes,Successful Progressive Passes,Total Pass Length,Carries,Carry Distance,Final Third Entries,Progressive Moves,Passes Success %,Long Passes Success %,Under Pressure Passes Success %,Progressive Passes Success %,PPF,CPF,Open Play Passes,Pass Completed Above Expected,Successful Passes and Carries,Turnovers per 100 Touches,Percentile Padj_Defensive Acts,Percentile Turnovers,Percentile Aerial Challenges,Percentile Aerial Win %,Percentile True Tackle Win%,Percentile Padj_Pressures,Percentile Padj_Successful Pressures,Percentile Dribbles,Percentile xT,Percentile xT Facilitated,Percentile xGBuildup,Percentile xGChain,Percentile Successful Passes,Percentile Successful Long Passes,Percentile Successful Final Third Passes,Percentile Successful Under Pressure Passes,Percentile Successful Progressive Passes,Percentile Total Pass Length,Percentile Carries,Percentile Carry Distance,Percentile Final Third Entries,Percentile Progressive Moves,Percentile Passes Success %,Percentile Long Passes Success %,Percentile Under Pressure Passes Success %,Percentile Progressive Passes Success %,Percentile PPF,Percentile CPF,Percentile Open Play Passes,Percentile Pass Completed Above Expected,Percentile Successful Passes and Carries,Percentile Turnovers per 100 Touches
Ahmed Hegazi,285,Egypt,9.577760052131266,0.631578947368421,1.894736842105263,33.333333333333336,50.0,4.330909578812466,0.6690042180293712,0.0,0.10696226486486486,0.07087381621621618,0.11021348706666671,0.11021348706666671,29.36842105263158,10.105263157894736,1.263157894736842,4.7368421052631575,3.473684210526316,1089.9254938421052,29.05263157894737,191.40511100704637,1.5789473684210527,3.789473684210526,74.4,71.11111111111111,65.21739130434783,39.285714285714285,0.44573715691568694,0.5179603847711726,124,0.972885507515309,58.42105263157895,2.1739130434782608,0.43137254901960786,0.8431372549019608,0.4019607843137255,0.2549019607843137,0.7745098039215687,0.27450980392156865,0.21568627450980393,0.2647058823529412,0.47058823529411764,0.17647058823529413,0.35294117647058826,0.35294117647058826,0.17647058823529413,0.7450980392156863,0.16666666666666666,0.39215686274509803,0.49019607843137253,0.4117647058823529,0.29411764705882354,0.39215686274509803,0.19607843137254902,0.37254901960784315,0.08823529411764706,0.43137254901960786,0.23529411764705882,0.17647058823529413,0.6470588235294118,0.39215686274509803,0.17647058823529413,0.0784313725490196,0.21568627450980393,0.9411764705882353
Andreas Christensen,311,Denmark,8.37228264769117,1.157556270096463,1.4469453376205788,75.0,47.5,6.68537329938444,1.0355991996351064,0.28938906752411575,0.06727994055944057,0.06991831818181819,0.19064410419028338,0.19064410419028338,44.565916398713824,5.209003215434083,2.0257234726688105,5.498392282958199,1.7363344051446947,977.1636433311902,38.19935691318328,201.52357749067113,2.0257234726688105,2.0257234726688105,92.7710843373494,78.26086956521739,90.47619047619048,46.15384615384615,0.31452516224315463,0.5801086336654923,164,1.0364860988318259,82.7652733118971,3.0075187969924815,0.2549019607843137,1.0,0.21568627450980393,0.7745098039215687,0.7450980392156863,0.49019607843137253,0.35294117647058826,0.6274509803921569,0.13725490196078433,0.1568627450980392,0.7254901960784313,0.6862745098039216,0.5098039215686274,0.13725490196078433,0.43137254901960786,0.5686274509803921,0.11764705882352941,0.2549019607843137,0.5098039215686274,0.47058823529411764,0.3333333333333333,0.09803921568627451,0.9411764705882353,0.7352941176470589,1.0,0.45098039215686275,0.11764705882352941,0.6666666666666666,0.4117647058823529,0.9019607843137255,0.5098039215686274,0.9607843137254902
Andreas Granqvist,476,Sweden,6.6991815585571,0.37815126050420167,1.5126050420168067,80.0,13.333333333333334,2.348758601580335,0.17564777544551682,0.37815126050420167,0.18431742045454538,0.13400175378787874,0.07278358574416434,0.07488791441363213,26.47058823529412,5.8613445378151265,2.0798319327731094,5.672268907563025,2.8361344537815123,827.1859100861343,23.445378151260506,159.8171394435522,2.6470588235294117,4.159663865546219,81.87134502923976,64.58333333333333,83.33333333333333,44.11764705882353,0.4494936100886463,0.5999627592260679,159,1.0227252253051062,49.91596638655462,1.5873015873015872,0.1568627450980392,0.6470588235294118,0.23529411764705882,0.9019607843137255,0.20588235294117646,0.058823529411764705,0.0196078431372549,0.7647058823529411,0.9411764705882353,0.7647058823529411,0.0784313725490196,0.09803921568627451,0.0784313725490196,0.19607843137254902,0.45098039215686275,0.6078431372549019,0.27450980392156865,0.0784313725490196,0.09803921568627451,0.23529411764705882,0.5098039215686274,0.43137254901960786,0.2549019607843137,0.27450980392156865,0.7647058823529411,0.35294117647058826,0.7058823529411765,0.7843137254901961,0.37254901960784315,0.7058823529411765,0.0784313725490196,0.8235294117647058
Anga Dedryck Boyata,280,Belgium,12.28802791033688,0.0,3.857142857142857,40.74074074074074,6.666666666666667,6.7180323425749755,1.5173212499062827,0.0,0.05512236151603498,0.06472729446064142,0.180093232615824,0.180093232615824,58.17857142857143,5.464285714285714,0.3214285714285714,4.821428571428571,1.2857142857142856,1193.3227935642858,52.07142857142858,195.0810154432591,0.3214285714285714,1.2857142857142856,94.27083333333333,89.47368421052632,65.21739130434783,100.0,0.3056954809311613,0.45372847812255973,192,1.0070423252645542,110.25000000000001,0.0,0.6470588235294118,0.18627450980392157,0.8431372549019608,0.37254901960784315,0.058823529411764705,0.5098039215686274,0.5490196078431373,0.2647058823529412,0.0784313725490196,0.11764705882352941,0.7058823529411765,0.6470588235294118,0.7843137254901961,0.1568627450980392,0.0392156862745098,0.45098039215686275,0.0392156862745098,0.5686274509803921,0.7843137254901961,0.43137254901960786,0.0392156862745098,0.0392156862745098,0.9803921568627451,0.9803921568627451,0.23529411764705882,1.0,0.09803921568627451,0.17647058823529413,0.5490196078431373,0.35294117647058826,0.803921568627451,0.18627450980392157
Carlos Joel Salcedo Hernández,378,Mexico,13.306748822951644,0.47619047619047616,3.571428571428571,55.0,25.0,7.561175692427232,0.98118495405858,0.47619047619047616,0.09356464594594593,0.05925219459459459,0.07976304437288133,0.08435234776271183,45.47619047619048,8.095238095238095,1.6666666666666665,3.8095238095238093,4.285714285714286,1324.0368651904766,42.61904761904762,305.3909684970847,1.9047619047619047,5.0,84.51327433628319,62.96296296296296,66.66666666666667,45.0,0.3761561339443741,0.5678575073114308,218,1.0011031001747681,88.0952380952381,1.1049723756906076,0.7450980392156863,0.7647058823529411,0.7843137254901961,0.5196078431372549,0.3431372549019608,0.6274509803921569,0.3137254901960784,0.8627450980392157,0.3137254901960784,0.058823529411764705,0.1568627450980392,0.1568627450980392,0.5686274509803921,0.4117647058823529,0.2549019607843137,0.2549019607843137,0.7254901960784313,0.6862745098039216,0.5882352941176471,0.7254901960784313,0.29411764705882354,0.6862745098039216,0.39215686274509803,0.23529411764705882,0.27450980392156865,0.39215686274509803,0.35294117647058826,0.6078431372549019,0.6666666666666666,0.29411764705882354,0.5882352941176471,0.6274509803921569
Christian Guillermo Martín Ramos Garagay,283,Peru,9.381350969073035,0.31802120141342755,1.5901060070671378,50.0,0.0,6.672761618087055,2.142476485527038,0.6360424028268551,0.1797118655913978,0.08509100000000004,0.27727035069892475,0.27917540360215054,31.48409893992933,6.996466431095406,2.5441696113074204,4.134275618374558,4.134275618374558,932.5321370459359,27.6678445229682,269.815344698426,3.1802120141342756,6.042402826855124,83.19327731092437,70.96774193548387,86.66666666666667,59.09090909090909,0.4258878818252883,0.6392975437538416,113,0.9962719332460424,59.15194346289753,1.1235955056179774,0.4117647058823529,0.5784313725490197,0.3235294117647059,0.47058823529411764,0.029411764705882353,0.47058823529411764,0.7843137254901961,0.9215686274509803,0.9215686274509803,0.3137254901960784,0.9607843137254902,0.9411764705882353,0.23529411764705882,0.29411764705882354,0.6274509803921569,0.3137254901960784,0.6274509803921569,0.21568627450980393,0.23529411764705882,0.6274509803921569,0.6470588235294118,0.7843137254901961,0.29411764705882354,0.4117647058823529,0.9215686274509803,0.8235294117647058,0.5686274509803921,0.9607843137254902,0.08823529411764706,0.21568627450980393,0.23529411764705882,0.6470588235294118
Davinson Sánchez Mina,404,Colombia,12.068686686402119,0.0,4.900990099009901,38.257575757575765,50.0,6.843888377183731,1.750122255262479,0.0,0.07462540372670809,0.05647934782608696,0.024552019943126602,0.025204837772073968,36.31188118811881,8.465346534653465,1.5594059405940595,2.673267326732673,3.7871287128712874,1179.6650364653478,35.42079207920792,159.98353520856773,1.5594059405940595,3.7871287128712874,77.99043062200957,61.29032258064516,50.0,41.46341463414634,0.4921928144591387,0.43915452818138273,202,0.9921779271106661,71.73267326732673,0.0,0.6274509803921569,0.18627450980392157,0.9803921568627451,0.35294117647058826,0.7745098039215687,0.5294117647058824,0.6470588235294118,0.2647058823529412,0.19607843137254902,0.0392156862745098,0.0392156862745098,0.0392156862745098,0.39215686274509803,0.45098039215686275,0.21568627450980393,0.058823529411764705,0.5686274509803921,0.5490196078431373,0.45098039215686275,0.2549019607843137,0.1568627450980392,0.35294117647058826,0.17647058823529413,0.20588235294117646,0.0392156862745098,0.21568627450980393,0.8823529411764706,0.09803921568627451,0.5686274509803921,0.1568627450980392,0.39215686274509803,0.18627450980392157
Dejan Lovren,674,Croatia,13.134113829571008,0.40059347181008903,2.937685459940653,68.57142857142857,16.666666666666668,5.409433417150893,1.2173604184039633,0.0,0.10717821503496495,0.0837091031468531,0.20738669926405856,0.21281320019863803,42.596439169139465,9.480712166172108,2.8041543026706233,4.13946587537092,2.937685459940653,1202.2817214258168,33.78338278931751,192.27206866081906,3.3382789317507418,3.605341246290801,85.75268817204301,74.73684210526316,67.3913043478261,45.833333333333336,0.3736155645273775,0.520949885737406,361,1.0351034672432278,76.37982195845697,1.1857707509881423,0.7058823529411765,0.6666666666666666,0.6666666666666666,0.6862745098039216,0.2549019607843137,0.39215686274509803,0.43137254901960786,0.2647058823529412,0.49019607843137253,0.27450980392156865,0.7450980392156863,0.7254901960784313,0.47058823529411764,0.5686274509803921,0.6470588235294118,0.3333333333333333,0.35294117647058826,0.5882352941176471,0.4117647058823529,0.4117647058823529,0.6862745098039216,0.3333333333333333,0.49019607843137253,0.6470588235294118,0.29411764705882354,0.4117647058823529,0.29411764705882354,0.43137254901960786,0.9019607843137255,0.8431372549019608,0.45098039215686275,0.6666666666666666
Diego Roberto Godín Leal,473,Uruguay,10.916597471471007,0.5708245243128964,2.854122621564482,38.095238095238095,51.42857142857143,6.267028090927403,0.4162244100722438,0.5708245243128964,0.16698861516853933,0.11154242696629213,0.09260718851776314,0.09658029781600877,35.581395348837205,9.894291754756871,1.331923890063425,2.854122621564482,3.4249471458773786,1070.941211524313,32.15644820295983,206.81848972901096,2.2832980972515857,4.7568710359408035,83.48214285714286,76.47058823529412,62.5,41.86046511627907,0.461220668397424,0.6328915773468475,208,0.9983829205207525,67.73784355179704,1.7441860465116281,0.5098039215686274,0.8235294117647058,0.5882352941176471,0.3333333333333333,0.803921568627451,0.4117647058823529,0.0784313725490196,0.8823529411764706,0.803921568627451,0.5882352941176471,0.27450980392156865,0.27450980392156865,0.35294117647058826,0.6862745098039216,0.19607843137254902,0.0784313725490196,0.47058823529411764,0.37254901960784315,0.35294117647058826,0.5098039215686274,0.43137254901960786,0.6470588235294118,0.3333333333333333,0.6666666666666666,0.13725490196078433,0.23529411764705882,0.7450980392156863,0.9215686274509803,0.6176470588235294,0.23529411764705882,0.37254901960784315,0.8627450980392157
Domagoj Vida,649,Croatia,10.928490553800588,0.27734976887519264,1.5254237288135593,75.0,36.111111111111114,8.091908612131407,1.5415628054298267,0.0,0.08195785622317597,0.07473515236051506,0.16024526789213958,0.16223370714447605,36.05546995377504,4.992295839753467,0.9707241910631742,2.912172573189522,1.5254237288135593,955.9174497503852,28.567026194144837,138.6789185479435,1.1093990755007705,1.6640986132511557,82.01892744479495,59.01639344262295,63.63636363636363,28.94736842105263,0.4459256951923364,0.46332599306659195,313,0.99523463310442,64.62249614791988,0.9708737864077671,0.5294117647058824,0.5490196078431373,0.2549019607843137,0.7745098039215687,0.5686274509803921,0.6862745098039216,0.5686274509803921,0.2647058823529412,0.2549019607843137,0.21568627450980393,0.6274509803921569,0.5686274509803921,0.37254901960784315,0.09803921568627451,0.11764705882352941,0.09803921568627451,0.0784313725490196,0.23529411764705882,0.27450980392156865,0.1568627450980392,0.09803921568627451,0.0784313725490196,0.27450980392156865,0.11764705882352941,0.19607843137254902,0.058823529411764705,0.6666666666666666,0.19607843137254902,0.8235294117647058,0.19607843137254902,0.3137254901960784,0.6078431372549019
