Percentile Padj Defensive Actions,Percentile Turnovers,Percentile Aerial Challenges,Percentile Aerial Win %,Percentile True Tackle Win%,Percentile Pressures,Percentile Successful Pressures,Percentile xT,Percentile xT Facilitated,Percentile xGBuildup,Percentile xGChain,Percentile Carry Distance,Percentile Final Third Entries,Percentile Progressive Moves,Percentile Passes Success %,Percentile Long Passes Success %,Percentile Under Pressure Passes Success %,Percentile Progressive Passes Success %,Percentile CPF,Percentile Successful Passes and Carries
Mats Hummels,Young-Gwon Kim,Kári Árnason,Óscar Esau Duarte Gaitán,Duško Tošić,Jan Vertonghen,Mats Hummels,Óscar Esau Duarte Gaitán,Kári Árnason,Yassine Meriah,Yassine Meriah,Manuel Obafemi Akanji,Sergio Ramos García,Trent Sainsbury,Sergio Ramos García,Mats Hummels,Ragnar Sigurðsson,Anga Dedryck Boyata,Gerard Piqué Bernabéu,Sergio Ramos García
Osama Abdulrezag Hawsawi,Yerry Fernando Mina González,Nicolás Hernán Otamendi,Romain Saïss,Romain Saïss,Mats Hummels,Yassine Meriah,Kári Árnason,Óscar Esau Duarte Gaitán,Duško Tošić,Duško Tošić,Nicolás Hernán Otamendi,Gerard Piqué Bernabéu,Mats Hummels,Anga Dedryck Boyata,Anga Dedryck Boyata,Andreas Christensen,Mats Hummels,Mats Hummels,Mark Milligan
Nicolás Hernán Otamendi,Yassine Meriah,Davinson Sánchez Mina,Harry Maguire,José María Giménez de Vargas,Hyun-Soo Jang,Hugo Ayala Castro,Young-Gwon Kim,Christian Guillermo Martín Ramos Garagay,Toby Alderweireld,Toby Alderweireld,Sergio Ramos García,Toby Alderweireld,Fabian Lukas Schär,Vincent Kompany,Nikola Milenković,Óscar Esau Duarte Gaitán,Trent Sainsbury,Hugo Ayala Castro,Gerard Piqué Bernabéu
Faustino Marcos Alberto Rojo,William Troost-Ekong,Gen Shōji,José Miguel da Rocha Fonte,Fidel Escobar Mendieta,Phil Jones,Mathias Jattah-Njie Jørgensen,Manuel Marouan da Costa Trinidade,Seyed Majid Hosseini,Christian Guillermo Martín Ramos Garagay,Sergio Ramos García,Gerard Piqué Bernabéu,Kyle Walker,Romain Saïss,Andreas Christensen,Sergio Ramos García,Giancarlo González Castro,John Stones,Christian Guillermo Martín Ramos Garagay,Phil Jones
José Miguel da Rocha Fonte,Vincent Kompany,Harry Maguire,Samuel Yves Umtiti,Nikola Milenković,Yassine Meriah,Manuel Obafemi Akanji,Duško Tošić,Johnny Acosta Zamora,Jan Vertonghen,Christian Guillermo Martín Ramos Garagay,Mark Milligan,Óscar Esau Duarte Gaitán,Harry Maguire,John Stones,Gerard Piqué Bernabéu,Mark Milligan,Yassine Meriah,Nicolás Hernán Otamendi,Manuel Obafemi Akanji
Yerry Fernando Mina González,Victor Nilsson Lindelöf,José Miguel da Rocha Fonte,Victor Nilsson Lindelöf,Salif Sané,Kári Árnason,Fabian Lukas Schär,Sergei Ignashevich,Ragnar Sigurðsson,Thiago Emiliano da Silva,Jan Vertonghen,Toby Alderweireld,Trent Sainsbury,Faustino Marcos Alberto Rojo,João Miranda de Souza Filho,Jan Bednarek,John Stones,Vincent Kompany,Diego Roberto Godín Leal,Toby Alderweireld
João Miranda de Souza Filho,Trent Sainsbury,Faustino Marcos Alberto Rojo,Fabian Lukas Schär,Mats Hummels,Andreas Christensen,João Miranda de Souza Filho,Medhi Amine El Mouttaqi Benatia,Romain Saïss,Gen Shōji,Harry Maguire,Kyle Walker,Faustino Marcos Alberto Rojo,Kyle Walker,Thiago Emiliano da Silva,Trent Sainsbury,Héctor Alfredo Moreno Herrera,Johnny Acosta Zamora,Medhi Amine El Mouttaqi Benatia,Kyle Walker
Manuel Obafemi Akanji,Toby Alderweireld,Gerard Piqué Bernabéu,Andreas Granqvist,Sergio Ramos García,Ragnar Sigurðsson,Nicolás Hernán Otamendi,Ilya Kutepov,Young-Gwon Kim,Sergio Ramos García,Thiago Emiliano da Silva,John Stones,Harry Maguire,Yassine Meriah,Phil Jones,Thiago Emiliano da Silva,Christian Guillermo Martín Ramos Garagay,Jan Bednarek,Johnny Acosta Zamora,Nicolás Hernán Otamendi
Kléper Laveran Lima Ferreira,Thiago Emiliano da Silva,Kléper Laveran Lima Ferreira,Sergei Ignashevich,Nicolás Hernán Otamendi,Osama Abdulrezag Hawsawi,Kalidou Koulibaly,Andreas Granqvist,Kléper Laveran Lima Ferreira,João Miranda de Souza Filho,Gen Shōji,Yassine Meriah,Phil Jones,Jan Bednarek,Mark Milligan,Vincent Kompany,Thiago Emiliano da Silva,Harry Maguire,Faustino Marcos Alberto Rojo,John Stones
