0
Nicolás Hernán Otamendi
Mark Milligan
Mats Hummels
José María Giménez de Vargas
Jan Bednarek
Phil Jones
Harry Maguire
Christian Guillermo Martín Ramos Garagay
Thiago Emiliano da Silva
Sergio Ramos García
Trent Sainsbury
Gen Shōji
Dejan Lovren
Héctor Alfredo Moreno Herrera
Vincent Kompany
Yassine Meriah
Young-Gwon Kim
Kléper Laveran Lima Ferreira
Medhi Amine El Mouttaqi Benatia
Toby Alderweireld
Samuel Yves Umtiti
Duško Tošić
Kyle Walker
John Stones
Maya Yoshida
Manuel Obafemi Akanji
Raphaël Varane
Faustino Marcos Alberto Rojo
Gerard Piqué Bernabéu
